id;id_user;id_subject;id_relation;id_predicate;id_type;confidence_level;text_description;event_stamp;id_subject_def;id_predicate_def;truth_value;flag_for_curator
"ass_4b64b44385b1e";"usr_4b64af5545a03";"trm_4a3fd79d0b86e";"T2";"trm_4a3fd79d0a775";"concept-concept";"100";"phonology is a part of language comprehension";"2010-01-30 22:35:47";"NADA";"";"positive";"0"
"ass_4b64b458ccfc1";"usr_4b64af5545a03";"trm_4a3fd79d0b86e";"T2";"trm_4a3fd79d0a78d";"concept-concept";"100";"phonology is a part of language production";"2010-01-30 22:36:08";"NADA";"";"positive";"0"
"ass_4b65244f102ea";"usr_4b54bb9dcf254";"tsk_4a57abb949b1c";"T15";"tsk_4a57abb949bcd";"task-task";"100";"letter n-back task  is descended from n-back task";"2010-01-31 06:33:51";"NADA";"";"positive";"0"
"ass_4b65248e2dd6e";"usr_4b54bb9dcf254";"tsk_4a57abb949a6a";"T15";"tsk_4a57abb949bcd";"task-task";"100";"face n-back task  is descended from n-back task";"2010-01-31 06:34:54";"NADA";"";"positive";"0"
"ass_4b6554150dfb8";"usr_4b64af5545a03";"trm_4a3fd79d0a78d";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"language production is a part of language";"2010-01-31 09:57:41";"NADA";"";"positive";"0"
"ass_4b65587634a35";"usr_4b64af5545a03";"trm_4a3fd79d0b077";"T1";"trm_4a3fd79d0a833";"concept-concept";"100";"semantic knowledge is a kind of long term memory";"2010-01-31 10:16:22";"NADA";"";"positive";"0"
"ass_4b65588580318";"usr_4b64af5545a03";"trm_4a3fd79d0b077";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"semantic knowledge is a part of language";"2010-01-31 10:16:37";"NADA";"";"positive";"0"
"ass_4b6558e004424";"usr_4b64af5545a03";"trm_4a3fd79d0a966";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"morpheme is a part of language";"2010-01-31 10:18:08";"NADA";"";"positive";"0"
"ass_4b6558fa4df75";"usr_4b64af5545a03";"trm_4a3fd79d0a966";"T2";"trm_4a3fd79d0b53c";"concept-concept";"100";"morpheme is a part of word";"2010-01-31 10:18:34";"NADA";"";"positive";"0"
"ass_4b65e5023e714";"usr_4b64af5545a03";"trm_4a3fd79d09786";"T1";"trm_4a3fd79d0a769";"concept-concept";"100";"agglutinative language is a kind of language";"2010-01-31 20:16:02";"NADA";"";"positive";"0"
"ass_4b65ee343fe21";"usr_4b64af5545a03";"trm_4b65edcf9129a";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"word frequency (token) is a part of language";"2010-01-31 20:55:16";"NADA";"";"positive";"0"
"ass_4b65ee5f14a93";"usr_4b64af5545a03";"trm_4b65edcf8bc43";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"word frequency (type) is a part of language";"2010-01-31 20:55:59";"NADA";"";"positive";"0"
"ass_4b65ffb10f061";"usr_4b64af5545a03";"trm_4a3fd79d0b434";"T2";"trm_4a3fd79d0b247";"concept-concept";"100";"velar is a part of speech production";"2010-01-31 22:09:53";"NADA";"";"positive";"0"
"ass_4b65ffe09cb58";"usr_4b64af5545a03";"trm_4a3fd79d0b440";"T1";"trm_4a3fd79d0b53c";"concept-concept";"100";"verb is a kind of word";"2010-01-31 22:10:40";"NADA";"";"positive";"0"
"ass_4b65fff2b2b93";"usr_4b64af5545a03";"trm_4a3fd79d0b440";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"verb is a part of language";"2010-01-31 22:10:58";"NADA";"";"positive";"0"
"ass_4b7c11b0a6d5f";"usr_49a467bf4e0db";"trm_4a3fd79d0b613";"T16";"tsk_4a57abb949f21";"concept-task";"100";"task switching is measured by the contrast of Perseverative errors trials in the Wisconsin Card Sorting test";"2010-02-17 15:56:32";"NADA";"cnt_4b7c101e9b549";"positive";"0"
"ass_4b7c11d216fb8";"usr_49a467bf4e0db";"trm_4a3fd79d0b5a7";"T16";"tsk_4a57abb949f21";"concept-task";"100";"working memory is measured by the contrast of Failure to maintain set trials in the Wisconsin Card Sorting test";"2010-02-17 15:57:06";"NADA";"cnt_4b7c108cc7a68";"positive";"0"
"ass_4b7c27488af65";"usr_49a467bf4e0db";"trm_4b7c270940f9d";"T10";"trm_4a3fd79d0af66";"concept-concept";"100";"behavioral inhibition (cognitive) is an exact synonym of response inhibition";"2010-02-17 17:28:40";"exact";"";"positive";"0"
"ass_4b82cf7c151a9";"usr_4aef33d37b963";"trm_4b82c75498408";"T16";"trm_4b749b8829eee";"concept-task";"70";"Central Coherence is measured by the contrast of Segmented blocks trials in the Embedded Figures Test";"2010-02-22 18:39:56";"NADA";"cnt_4b7c0325a9f17";"positive";"0"
"ass_4b82cf7c19a4c";"usr_4aef33d37b963";"trm_4b82c75498408";"T16";"trm_4b749b8829eee";"concept-task";"70";"Central Coherence is measured by the contrast of Unsegmented blocks trials in the Embedded Figures Test";"2010-02-22 18:39:56";"NADA";"cnt_4b7c03351fc78";"positive";"0"
"ass_4b82d318e6750";"usr_4aef33d37b963";"trm_4b82c75498408";"T16";"trm_4b7497a289534";"concept-task";"70";"Central Coherence is measured by the contrast of Unsegmented blocks trials in the Block Design Test";"2010-02-22 18:55:20";"NADA";"cnt_4b82d26b480ea";"positive";"0"
"ass_4be3b16abf22d";"usr_4b64af5545a03";"trm_4a3fd79d0b786";"T1";"trm_4a3fd79d0b53c";"concept-concept";"100";"homonym is a kind of word";"2010-05-07 06:21:30";"NADA";"";"positive";"0"
"ass_4be3b18098ec1";"usr_4b64af5545a03";"trm_4a3fd79d0b786";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"homonym is a part of language";"2010-05-07 06:21:52";"NADA";"";"positive";"0"
"ass_4be3b28a28003";"usr_4b64af5545a03";"trm_4a3fd79d0ae93";"T1";"trm_4a3fd79d0ae9e";"concept-concept";"100";"pseudohomophone is a kind of pseudoword";"2010-05-07 06:26:18";"NADA";"";"positive";"0"
"ass_4be3b2a2a30e6";"usr_4b64af5545a03";"trm_4a3fd79d0ae93";"T2";"trm_4a3fd79d0a769";"concept-concept";"70";"pseudohomophone is a part of language";"2010-05-07 06:26:42";"NADA";"";"positive";"0"
"ass_4be3b80a0fae3";"usr_4b64af5545a03";"trm_4a3fd79d0b792";"T1";"trm_4a3fd79d0b53c";"concept-concept";"100";"homophone is a kind of word";"2010-05-07 06:49:46";"NADA";"";"positive";"0"
"ass_4be3b81a6e31a";"usr_4b64af5545a03";"trm_4a3fd79d0b792";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"homophone is a part of language";"2010-05-07 06:50:02";"NADA";"";"positive";"0"
"ass_4be3c0fced135";"usr_4b64af5545a03";"trm_4a3fd79d0a504";"T2";"trm_4a3fd79d0b53c";"concept-concept";"70";"imageability is a part of word";"2010-05-07 07:27:56";"NADA";"";"positive";"0"
"ass_4be3c16ca6376";"usr_4b64af5545a03";"trm_4a3fd79d0a504";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"imageability is a part of language";"2010-05-07 07:29:48";"NADA";"";"positive";"0"
"ass_4be44d92e70f0";"usr_4b64af5545a03";"trm_4a3fd79d0b53c";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"word is a part of language";"2010-05-07 17:27:46";"NADA";"";"positive";"0"
"ass_4be50ce4e5c4e";"usr_4b64af5545a03";"trm_4a3fd79d0a607";"T2";"trm_4a3fd79d0b83e";"concept-concept";"100";"inflection is a part of morphology";"2010-05-08 07:04:04";"NADA";"";"positive";"0"
"ass_4be50cf460607";"usr_4b64af5545a03";"trm_4a3fd79d0a607";"T2";"trm_4a3fd79d0b53c";"concept-concept";"100";"inflection is a part of word";"2010-05-08 07:04:20";"NADA";"";"positive";"0"
"ass_4be50d0d38f99";"usr_4b64af5545a03";"trm_4a3fd79d0a607";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"inflection is a part of language";"2010-05-08 07:04:45";"NADA";"";"positive";"0"
"ass_4be662b0cae30";"usr_4b64af5545a03";"trm_4a3fd79d0b518";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"vocabulary is a part of language";"2010-05-09 07:22:24";"NADA";"";"positive";"0"
"ass_4be662db87821";"usr_4b64af5545a03";"trm_4a3fd79d0b53c";"T2";"trm_4a3fd79d0b518";"concept-concept";"100";"word is a part of vocabulary";"2010-05-09 07:23:07";"NADA";"";"positive";"0"
"ass_4be6656a972bb";"usr_4b64af5545a03";"trm_4a3fd79d0b2b4";"T2";"trm_4a3fd79d0aeb6";"concept-concept";"50";"sublexical route is a part of reading";"2010-05-09 07:34:02";"NADA";"";"positive";"0"
"ass_4be6686568ef8";"usr_4b64af5545a03";"trm_4a3fd79d0b083";"T2";"trm_4a3fd79d0a769";"concept-concept";"100";"semantic memory is a part of language";"2010-05-09 07:46:45";"NADA";"";"positive";"0"
"ass_4be66894b137b";"usr_4b64af5545a03";"trm_4a3fd79d0b083";"T10";"trm_4a3fd79d0a1f4";"concept-concept";"100";"semantic memory is an exact synonym of episodic memory";"2010-05-09 07:47:32";"exact";"";"negative";"0"
"ass_4c3e046ca128e";"usr_49a467bf4e0db";"trm_4a3fd79d0ba0d";"T2";"trm_4a3fd79d0b5a7";"concept-concept";"100";"active maintenance is a part of working memory";"2010-07-14 18:39:40";"NADA";"";"positive";"0"
"ass_4c3e04e7e7ec6";"usr_49a467bf4e0db";"trm_4c3e04d656f06";"T2";"trm_4a3fd79d0b5a7";"concept-concept";"100";"interference resolution is a part of working memory";"2010-07-14 18:41:43";"NADA";"";"positive";"0"
"ass_4c3e059f1c90c";"usr_49a467bf4e0db";"trm_4c3e05903e4bb";"T2";"trm_4a3fd79d0b5a7";"concept-concept";"100";"updating is a part of working memory";"2010-07-14 18:44:47";"NADA";"";"positive";"0"
"ass_4c40d1ec945a1";"usr_49a467bf4e0db";"trm_4c40d1d16071e";"T10";"tsk_4a57abb949d69";"task-task";"100";"listening span task is a broader synonym of Salthouse and Babcock Listening Span task ";"2010-07-16 21:41:00";"broader";"";"positive";"0"
"ass_4c40d239bfc80";"usr_49a467bf4e0db";"trm_4c40d22c8a69d";"T10";"trm_4b4a537644d76";"task-task";"100";"CPT is an exact synonym of Continuous Performance Task";"2010-07-16 21:42:17";"exact";"";"positive";"0"
"ass_4da4b23a5996a";"usr_49a467bf4e0db";"trm_4da4b203ad5ae";"T15";"tsk_4a57abb949e1a";"task-task";"100";"selective stop signal task is descended from stop signal task";"2011-04-12 20:12:42";"NADA";"";"positive";"0"
"ass_4dadbe3928370";"usr_4cf5de07654c8";"trm_4dadbe225bdf1";"T15";"trm_4dadbdd0b2b8c";"task-task";"100";"spatial delayed response task is descended from delayed response task";"2011-04-19 16:54:17";"NADA";"";"positive";"0"
"ass_4daddb17d8bf3";"usr_4cf5de07654c8";"trm_4dadbfd771a54";"T15";"tsk_4a57abb949e27";"task-task";"100";"picture-word Stroop test is descended from Stroop task";"2011-04-19 18:57:27";"NADA";"";"positive";"0"
"ass_4de569da77399";"usr_4de5345b3b6a8";"tsk_4a57abb94989b";"T10";"tsk_4a57abb949f12";"task-task";"100";"backward digit span task is a synonym of Wechsler Adult Intelligence Scale - Revised";"2011-05-31 22:21:14";"related";"";"positive";"1"
"ass_4de5703114ecd";"usr_4de5345b3b6a8";"trm_4a3fd79d0ac9e";"T16";"tsk_4a57abb949a0d";"concept-task";"100";"phonological working memory is measured by the contrast of forward trials in the Digit span task";"2011-05-31 22:48:17";"NADA";"cnt_4de56f49c2858";"positive";"1"
"ass_4de570b290d6b";"usr_4de5345b3b6a8";"tsk_4a57abb94989b";"T15";"tsk_4a57abb949a0d";"task-task";"100";"backward digit span task is descended from Digit span task";"2011-05-31 22:50:26";"NADA";"";"positive";"1"
"ass_4de570d1f0298";"usr_4de5345b3b6a8";"tsk_4a57abb94989b";"T10";"tsk_4a57abb949a85";"task-task";"100";"backward digit span task is a synonym of Forward digit span task";"2011-05-31 22:50:57";"exact";"";"negative";"1"
"ass_4de575e576f23";"usr_4de5345b3b6a8";"tsk_4a57abb949a85";"T15";"tsk_4a57abb949a0d";"task-task";"100";"forward digit span task is descended from digit span task";"2011-05-31 23:12:37";"NADA";"";"positive";"1"
"ass_4de57b75a33ff";"usr_4de5345b3b6a8";"trm_4d54b8361e93e";"T10";"trm_4d55a2bbcfdff";"task-task";"100";"behavioral investment allocation strategy (BIAS) is a synonym of choice task between risky and non-risky options";"2011-05-31 23:36:21";"narrower";"";"positive";"1"
"ass_4de67b370bee8";"usr_4de5345b3b6a8";"trm_4a3fd79d0a533";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"implicit memory is measured by the contrast of object decision trials in the Birmingham Object Recognition Battery";"2011-06-01 17:47:35";"NADA";"cnt_4de6758abdfa5";"positive";"1"
"ass_4de67c01a4101";"usr_4de5345b3b6a8";"trm_4a3fd79d0b4b5";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"visual perception is measured by Birmingham Object Recognition Battery";"2011-06-01 17:50:57";"NADA";"cnt_4de6716415d2d";"positive";"1"
"ass_4de67c01a4683";"usr_4de5345b3b6a8";"trm_4a3fd79d0b4b5";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"visual perception is measured by Birmingham Object Recognition Battery";"2011-06-01 17:50:57";"NADA";"cnt_4de674d6a85e6";"positive";"1"
"ass_4de67c52b80cb";"usr_4de5345b3b6a8";"trm_4a3fd79d0b4a9";"T16";"tsk_4a57abb9498ce";"concept-task";"100";"visual object recognition is measured by the contrast of picture naming trials in the Birmingham Object Recognition Battery";"2011-06-01 17:52:18";"NADA";"cnt_4de678e027440";"positive";"1"
"ass_4de67ccbd2da5";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of size match trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de671af5aeb3";"positive";"1"
"ass_4de67ccbd32d5";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of length match trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de671d131ff9";"positive";"1"
"ass_4de67ccbd3729";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of orientation match trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de671e75974e";"positive";"1"
"ass_4de67ccbd3b7c";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of position gap match trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de6722368730";"positive";"1"
"ass_4de67ccbd3f2e";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of overlapping figures test trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de674d6a85e6";"positive";"1"
"ass_4de67ccbd4371";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of minimal feature match trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de677aa1e1bb";"positive";"1"
"ass_4de67ccbd47b9";"usr_4de5345b3b6a8";"trm_4a3fd79d0a398";"T16";"tsk_4a57abb9498ce";"concept-task";"70";"form perception is measured by the contrast of foreshortened match trials in the Birmingham Object Recognition Battery";"2011-06-01 17:54:19";"NADA";"cnt_4de67800c904a";"positive";"1"
"ass_4de67f2c5351c";"usr_4de5345b3b6a8";"trm_4b7497a289534";"T15";"tsk_4a57abb949f12";"task-task";"100";"Block Design Test is descended from Wechsler Adult Intelligence Scale - Revised";"2011-06-01 18:04:28";"NADA";"";"positive";"1"
"ass_4de687ec38861";"usr_4de5345b3b6a8";"tsk_4a57abb9498df";"T15";"trm_4da881dace79c";"task-task";"100";"block tapping test is descended from Corsi Blocks";"2011-06-01 18:41:48";"NADA";"";"positive";"1"
"ass_4de689faf3493";"usr_4de5345b3b6a8";"trm_4a3fd79d0b4d8";"T16";"tsk_4a57abb9498df";"concept-task";"70";"visual working memory is measured by the contrast of percent correct (number of correct sequences/number of total sequences) trials in the Block Tapping Test";"2011-06-01 18:50:34";"NADA";"cnt_4de6875390f37";"positive";"1"
"ass_4de68a0fdff68";"usr_4de5345b3b6a8";"trm_4a3fd79d0b4d8";"T1";"trm_4a3fd79d0b49e";"concept-concept";"100";"visual working memory is a kind of visual memory";"2011-06-01 18:50:55";"NADA";"";"positive";"1"
"ass_4de68d337fff9";"usr_4de5345b3b6a8";"trm_4a3fd79d0a7e0";"T16";"tsk_4a57abb9498ef";"concept-task";"100";"lexical retrieval is measured by the contrast of percent correct (number of correct responses/number of total pictures) trials in the Boston Naming Test";"2011-06-01 19:04:19";"NADA";"cnt_4de68ca153c38";"positive";"1"
"ass_4de68d4f64e6f";"usr_4de5345b3b6a8";"trm_4a3fd79d0b80f";"T16";"tsk_4a57abb9498ef";"concept-task";"70";"lexical access is measured by the contrast of percent correct (number of correct responses/number of total pictures) trials in the Boston Naming Test";"2011-06-01 19:04:47";"NADA";"cnt_4de68ca153c38";"positive";"1"
"ass_4de6a3dd42e73";"usr_4de5345b3b6a8";"trm_4a3fd79d09cae";"T16";"tsk_4a57abb949900";"concept-task";"50";"chunking is measured by the contrast of immediate recall trials in the California Verbal Learning Test-II";"2011-06-01 20:41:01";"NADA";"cnt_4de6a278a7dd5";"positive";"1"
"ass_4de6a3dd43bd8";"usr_4de5345b3b6a8";"trm_4a3fd79d09cae";"T16";"tsk_4a57abb949900";"concept-task";"50";"chunking is measured by the contrast of long recall trials in the California Verbal Learning Test-II";"2011-06-01 20:41:01";"NADA";"cnt_4de6a2f38a5ed";"positive";"1"
"ass_4de6a4309095b";"usr_4de5345b3b6a8";"trm_4a3fd79d0ba01";"T16";"tsk_4a57abb949900";"concept-task";"100";"memory retrieval is measured by the contrast of immediate recall trials in the California Verbal Learning Test-II";"2011-06-01 20:42:24";"NADA";"cnt_4de6a278a7dd5";"positive";"1"
"ass_4de6a43090ee0";"usr_4de5345b3b6a8";"trm_4a3fd79d0ba01";"T16";"tsk_4a57abb949900";"concept-task";"100";"memory retrieval is measured by the contrast of interference trials in the California Verbal Learning Test-II";"2011-06-01 20:42:24";"NADA";"cnt_4de6a2be90526";"positive";"1"
